,AllTotalQty,BuyTotalQty,SellTotalQty,YesTotalQty,NoTotalQty,YesBuyTotalQty,YesSellTotalQty,NoBuyTotalQty,NoSellTotalQty,AllMaxQty,BuyMaxQty,SellMaxQty,YesMaxQty,NoMaxQty,YesBuyMaxQty,YesSellMaxQty,NoBuyMaxQty,NoSellMaxQty,AllMinQty,BuyMinQty,SellMinQty,YesMinQty,NoMinQty,YesBuyMinQty,YesSellMinQty,NoBuyMinQty,NoSellMinQty,AllAvgQty,BuyAvgQty,SellAvgQty,YesAvgQty,NoAvgQty,YesBuyAvgQty,YesSellAvgQty,NoBuyAvgQty,NoSellAvgQty,AllTradeCount,BuyTradeCount,SellTradeCount,YesTradeCount,NoTradeCount,YesBuyTradeCount,YesSellTradeCount,NoBuyTradeCount,NoSellTradeCount,AllMaxPrice,BuyMaxPrice,SellMaxPrice,YesMaxPrice,NoMaxPrice,YesBuyMaxPrice,YesSellMaxPrice,NoBuyMaxPrice,NoSellMaxPrice,AllMinPrice,BuyMinPrice,SellMinPrice,YesMinPrice,NoMinPrice,YesBuyMinPrice,YesSellMinPrice,NoBuyMinPrice,NoSellMinPrice,AllAvgPrice,BuyAvgPrice,SellAvgPrice,YesAvgPrice,NoAvgPrice,YesBuyAvgPrice,YesSellAvgPrice,NoBuyAvgPrice,NoSellAvgPrice,ScalpTotalPnL,ScalpYesPnL,ScalpNoPnL,OverallPnL
10012,1270.0,642.0,628.0,461.0,809.0,230.0,231.0,412.0,397.0,34.0,34.0,29.0,24.0,34.0,22.0,24.0,34.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.105769230769231,9.04225352112676,4.583941605839416,6.1466666666666665,6.082706766917293,10.952380952380953,4.277777777777778,8.24,4.783132530120482,208,71,137,75,133,21,54,50,83,99.0,99.0,97.0,66.0,99.0,65.0,66.0,99.0,97.0,16.0,35.0,16.0,16.0,39.0,35.0,16.0,45.0,39.0,56.15865384615385,59.140845070422536,54.613138686131386,46.0,61.88721804511278,49.142857142857146,44.77777777777778,63.34,61.01204819277108,-3571.0,-1188.0,-2383.0,-3864.6400000000012
10030,1048.0,539.0,509.0,597.0,451.0,306.0,291.0,233.0,218.0,18.0,17.0,18.0,18.0,17.0,15.0,18.0,17.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.657777777777778,5.858695652173913,3.827067669172932,4.5227272727272725,4.849462365591398,5.275862068965517,3.9324324324324325,6.852941176470588,3.694915254237288,225,92,133,132,93,58,74,34,59,71.0,71.0,67.0,71.0,64.0,71.0,67.0,64.0,62.0,14.0,42.0,14.0,14.0,32.0,43.0,14.0,42.0,32.0,51.24,53.858695652173914,49.42857142857143,53.07575757575758,48.634408602150536,55.689655172413794,51.027027027027025,50.73529411764706,47.42372881355932,-3646.0,-2141.0,-1505.0,-2167.310000000002
9998,781.0,392.0,389.0,781.0,0.0,392.0,389.0,0.0,0.0,52.0,52.0,36.0,52.0,,52.0,36.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,8.48913043478261,9.560975609756097,7.627450980392157,8.48913043478261,,9.560975609756097,7.627450980392157,,,92,41,51,92,0,41,51,0,0,97.0,97.0,96.0,97.0,,97.0,96.0,,,79.0,79.0,79.0,79.0,,79.0,79.0,,,87.16304347826087,87.5609756097561,86.84313725490196,87.16304347826087,,87.5609756097561,86.84313725490196,,,-776.0,-776.0,0.0,-773.6600000000035
9964,534.0,299.0,235.0,496.0,38.0,280.0,216.0,19.0,19.0,26.0,26.0,20.0,26.0,15.0,26.0,20.0,15.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.235294117647059,6.644444444444445,4.12280701754386,5.166666666666667,6.333333333333333,6.666666666666667,4.0,6.333333333333333,6.333333333333333,102,45,57,96,6,42,54,3,3,95.0,95.0,95.0,95.0,65.0,95.0,95.0,65.0,31.0,24.0,25.0,24.0,29.0,24.0,69.0,29.0,25.0,24.0,75.49019607843137,80.31111111111112,71.6842105263158,78.11458333333333,33.5,83.19047619047619,74.16666666666667,40.0,27.0,-6458.0,-5847.0,-611.0,-200.32999999999993
9993,1130.0,565.0,565.0,892.0,238.0,446.0,446.0,119.0,119.0,69.0,69.0,59.0,69.0,22.0,69.0,59.0,22.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.494252873563219,9.912280701754385,4.829059829059829,6.861538461538461,5.409090909090909,10.878048780487806,5.01123595505618,7.4375,4.25,174,57,117,130,44,41,89,16,28,72.0,72.0,66.0,63.0,72.0,63.0,53.0,72.0,66.0,24.0,24.0,25.0,24.0,34.0,24.0,25.0,57.0,34.0,42.50574712643678,46.24561403508772,40.68376068376068,37.43076923076923,57.5,40.53658536585366,36.0,60.875,55.57142857142857,-3167.0,-2484.0,-683.0,-3348.5100000000034
9949,607.0,311.0,296.0,136.0,471.0,68.0,68.0,243.0,228.0,86.0,86.0,36.0,28.0,86.0,28.0,26.0,86.0,36.0,1.0,1.0,1.0,2.0,1.0,20.0,2.0,1.0,1.0,9.059701492537313,12.44,7.0476190476190474,17.0,7.983050847457627,22.666666666666668,13.6,11.045454545454545,6.162162162162162,67,25,42,8,59,3,5,22,37,99.0,99.0,64.0,44.0,99.0,44.0,41.0,99.0,64.0,36.0,40.0,36.0,36.0,51.0,40.0,36.0,51.0,51.0,54.582089552238806,56.52,53.42857142857143,40.375,56.50847457627118,41.666666666666664,39.6,58.54545454545455,55.2972972972973,-2244.0,-192.0,-2052.0,-830.1300000000003
92301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,50000.0
8978,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,6,6,0,6,0,6,0,0,0,3.0,3.0,,3.0,,3.0,,,,2.0,2.0,,2.0,,2.0,,,,2.1666666666666665,2.1666666666666665,,2.1666666666666665,,2.1666666666666665,,,,-13.0,-13.0,0.0,0.0
9877,319.0,179.0,140.0,207.0,112.0,109.0,98.0,70.0,42.0,28.0,28.0,10.0,15.0,28.0,15.0,10.0,28.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.625,5.424242424242424,2.5454545454545454,3.6315789473684212,3.6129032258064515,4.954545454545454,2.8,6.363636363636363,2.1,88,33,55,57,31,22,35,11,20,73.0,73.0,73.0,73.0,50.0,73.0,73.0,50.0,49.0,35.0,35.0,37.0,55.0,35.0,55.0,57.0,35.0,37.0,59.57954545454545,59.81818181818182,59.43636363636364,68.05263157894737,44.0,67.77272727272727,68.22857142857143,43.90909090909091,44.05,-2212.0,-1007.0,-1205.0,-1156.3100000000002
9878,72.0,36.0,36.0,0.0,72.0,0.0,0.0,36.0,36.0,15.0,15.0,10.0,,15.0,,,15.0,10.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,4.5,7.2,3.272727272727273,,4.5,,,7.2,3.272727272727273,16,5,11,0,16,0,0,5,11,60.0,60.0,60.0,,60.0,,,60.0,60.0,57.0,57.0,57.0,,57.0,,,57.0,57.0,59.1875,58.8,59.36363636363637,,59.1875,,,58.8,59.36363636363637,16.0,0.0,16.0,7.1400000000001
9842,1286.0,653.0,633.0,214.0,1072.0,107.0,107.0,546.0,526.0,56.0,56.0,31.0,16.0,56.0,11.0,16.0,56.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.567099567099567,6.160377358490566,5.064,4.458333333333333,5.85792349726776,4.115384615384615,4.863636363636363,6.825,5.106796116504855,231,106,125,48,183,26,22,80,103,96.0,96.0,95.0,71.0,96.0,71.0,69.0,96.0,95.0,25.0,28.0,25.0,25.0,28.0,36.0,25.0,28.0,29.0,65.00432900432901,63.9811320754717,65.872,56.770833333333336,67.1639344262295,57.5,55.90909090909091,66.0875,68.0,-2238.0,-560.0,-1678.0,-584.5599999999965
9841,896.0,448.0,448.0,442.0,454.0,221.0,221.0,227.0,227.0,52.0,52.0,23.0,24.0,52.0,24.0,19.0,52.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.397590361445783,7.0,4.392156862745098,6.054794520547945,4.881720430107527,7.129032258064516,5.261904761904762,6.878787878787879,3.783333333333333,166,64,102,73,93,31,42,33,60,90.0,90.0,90.0,90.0,60.0,90.0,90.0,60.0,59.0,12.0,40.0,12.0,48.0,12.0,48.0,48.0,40.0,12.0,50.55421686746988,53.515625,48.69607843137255,57.43835616438356,45.1505376344086,58.12903225806452,56.92857142857143,49.18181818181818,42.93333333333333,-2485.0,-277.0,-2208.0,-2656.7599999999998
9807,4.15,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,4.15,,,,,,,,4.15,4.15,,,,,,,,4.15,4.15,,,,,,,,1,1,0,0,0,0,0,0,0,60.31,60.31,,,,,,,,60.31,60.31,,,,,,,,60.31,60.31,,,,,,,,-250.28650000000002,0.0,0.0,-252.5
9808,2.39,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,2.39,,,,,,,,2.39,2.39,,,,,,,,2.39,2.39,,,,,,,,1,1,0,0,0,0,0,0,0,41.92,41.92,,,,,,,,41.92,41.92,,,,,,,,41.92,41.92,,,,,,,,-100.18880000000001,0.0,0.0,-101.0
9803,1026.0,513.0,513.0,70.0,956.0,35.0,35.0,478.0,478.0,32.0,26.0,32.0,19.0,32.0,19.0,16.0,26.0,32.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.2560975609756095,8.694915254237289,4.885714285714286,7.0,6.207792207792208,11.666666666666666,5.0,8.535714285714286,4.877551020408164,164,59,105,10,154,3,7,56,98,78.0,78.0,78.0,35.0,78.0,34.0,35.0,78.0,78.0,22.0,33.0,22.0,22.0,61.0,33.0,22.0,61.0,65.0,69.33536585365853,69.83050847457628,69.05714285714286,28.6,71.98051948051948,33.666666666666664,26.428571428571427,71.76785714285714,72.10204081632654,-689.0,-342.0,-347.0,-868.740000000002
9802,880.0,440.0,440.0,706.0,174.0,353.0,353.0,87.0,87.0,40.0,40.0,25.0,28.0,40.0,28.0,23.0,40.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.906040268456376,10.232558139534884,4.150943396226415,5.4728682170542635,8.7,9.289473684210526,3.879120879120879,17.4,5.8,149,43,106,129,20,38,91,5,15,81.0,80.0,81.0,81.0,80.0,80.0,81.0,80.0,78.0,19.0,22.0,19.0,19.0,58.0,22.0,19.0,74.0,58.0,65.61744966442953,67.97674418604652,64.66037735849056,64.27906976744185,74.25,66.6842105263158,63.27472527472528,77.8,73.06666666666666,-1977.0,-1661.0,-316.0,-2158.930000000002
9775,901.0,458.0,443.0,901.0,0.0,458.0,443.0,0.0,0.0,82.0,64.0,82.0,82.0,,64.0,82.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,11.7012987012987,12.378378378378379,11.075,11.7012987012987,,12.378378378378379,11.075,,,77,37,40,77,0,37,40,0,0,99.0,99.0,98.0,99.0,,99.0,98.0,,,81.0,81.0,84.0,81.0,,81.0,84.0,,,88.8051948051948,88.89189189189189,88.725,88.8051948051948,,88.89189189189189,88.725,,,-1898.0,-1898.0,0.0,-621.2800000000007
9758,215.0,115.0,100.0,163.0,52.0,89.0,74.0,26.0,26.0,19.0,16.0,19.0,19.0,15.0,16.0,19.0,11.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.886363636363637,5.476190476190476,4.3478260869565215,4.9393939393939394,4.7272727272727275,5.933333333333334,4.111111111111111,4.333333333333333,5.2,44,21,23,33,11,15,18,6,5,99.0,99.0,87.0,99.0,42.0,99.0,87.0,41.0,42.0,37.0,37.0,38.0,59.0,37.0,59.0,60.0,37.0,38.0,66.11363636363636,66.38095238095238,65.8695652173913,75.12121212121212,39.09090909090909,77.6,73.05555555555556,38.333333333333336,40.0,-1667.0,-1690.0,23.0,-202.67000000000007
